artist_id,genre
7EVlq3yUVHbHZZsaYSOcXt,k-indie
7EVlq3yUVHbHZZsaYSOcXt,korean indie folk
07OePkse2fcvU9wlVftNMl,k-indie
07OePkse2fcvU9wlVftNMl,korean city pop
07OePkse2fcvU9wlVftNMl,korean indie rock
5KOhn3Gjbd4DUavli5No5f,k-indie
5KOhn3Gjbd4DUavli5No5f,korean indie rock
5KOhn3Gjbd4DUavli5No5f,korean shoegaze
5q9adPv91NFr8q2ZcKmX0V,k-indie
1cDDtQ75Yz5Xi9sA16wl3N,k-indie
5wVJpXzuKV6Xj7Yhsf2uYx,k-indie
3txAiGYUmI4p84stqOoi1s,k-indie
3txAiGYUmI4p84stqOoi1s,korean indie rock
7eZbNxarrTW4VkRI8u9aDX,hyper-rock
7eZbNxarrTW4VkRI8u9aDX,korean indie rock
7eZbNxarrTW4VkRI8u9aDX,korean shoegaze
6S4fsREHT1NEjTb3lYD2pG,k-indie
6S4fsREHT1NEjTb3lYD2pG,korean indie rock
6S4fsREHT1NEjTb3lYD2pG,korean shoegaze
0fx546FEiZSwGoSbuMnsmN,hyper-rock
0fx546FEiZSwGoSbuMnsmN,korean shoegaze
2EYqI6r8FBAU5HtNEveQ3h,none
2jnsD97skwkkrQ4EigPcTp,none
74om4qLxb9MIsubhtvxQQJ,5th wave emo
74om4qLxb9MIsubhtvxQQJ,hyper-rock
74om4qLxb9MIsubhtvxQQJ,korean indie rock
5kNGExA70Z5twMjo7mFYrW,korean shoegaze
2IJQZNh2eIR9a21uq494UA,none
14d5KCX9nprUcxnKIShrr1,japanese emo
14d5KCX9nprUcxnKIShrr1,japanese post-rock
14d5KCX9nprUcxnKIShrr1,japanese shoegaze
0FXxQ0TEYtebM8gGg0xdoC,j-rock
0FXxQ0TEYtebM8gGg0xdoC,japanese alternative rock
0FXxQ0TEYtebM8gGg0xdoC,japanese post-hardcore
0FXxQ0TEYtebM8gGg0xdoC,kyushu indie
5IKKS7LhpdlmMwqIagqf3f,japanese math rock
5IKKS7LhpdlmMwqIagqf3f,japanese post-rock
5IKKS7LhpdlmMwqIagqf3f,math rock
2XjqKvB2Xz9IdyjWPIHaXi,j-pop
2XjqKvB2Xz9IdyjWPIHaXi,j-rock
