artist_id,followers,date
7EVlq3yUVHbHZZsaYSOcXt,62117,2024-06-03
07OePkse2fcvU9wlVftNMl,218760,2024-06-03
5KOhn3Gjbd4DUavli5No5f,9193,2024-06-03
5q9adPv91NFr8q2ZcKmX0V,105011,2024-06-03
1cDDtQ75Yz5Xi9sA16wl3N,12092,2024-06-03
5wVJpXzuKV6Xj7Yhsf2uYx,14635,2024-06-03
3txAiGYUmI4p84stqOoi1s,52243,2024-06-03
7eZbNxarrTW4VkRI8u9aDX,81642,2024-06-03
6S4fsREHT1NEjTb3lYD2pG,32115,2024-06-03
0fx546FEiZSwGoSbuMnsmN,7792,2024-06-03
2EYqI6r8FBAU5HtNEveQ3h,1008,2024-06-03
2jnsD97skwkkrQ4EigPcTp,343,2024-06-03
74om4qLxb9MIsubhtvxQQJ,36412,2024-06-03
5kNGExA70Z5twMjo7mFYrW,5107,2024-06-03
2IJQZNh2eIR9a21uq494UA,67866,2024-06-03
14d5KCX9nprUcxnKIShrr1,123852,2024-06-03
0FXxQ0TEYtebM8gGg0xdoC,164814,2024-06-03
5IKKS7LhpdlmMwqIagqf3f,184345,2024-06-03
2XjqKvB2Xz9IdyjWPIHaXi,1716594,2024-06-03
